Environment,Task,Seed,Bin,InaccuracyType,Steps,Collisions,TerminationReason,BugFound
7027,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,14,0,Task Completed,False
9064,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,17,0,Task Completed,False
1290,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,25,0,Task Completed,False
8336,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,9,0,Task Completed,False
2374,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,9,0,Task Completed,False
4766,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,8,0,Task Completed,False
2735,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,15,0,Task Completed,False
2742,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,15,1,Task Completed,False
1987,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,11,2,Task Completed,False
318,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,11,0,Task Completed,False
4145,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,7,2,Task Completed,False
3495,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,13,1,Task Completed,False
5222,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,14,0,Task Completed,False
1599,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,0,Task Completed,False
5331,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,13,1,Task Completed,False
5517,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,15,0,Task Completed,False
1584,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,25,5,Task Completed,False
5261,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,9,2,Task Completed,False
6205,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,0,Task Completed,False
5799,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,11,2,Task Completed,False
9716,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,15,0,Task Completed,False
2323,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,16,2,Task Completed,False
8769,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,14,0,Task Completed,False
6856,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,9,0,Task Completed,False
5294,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,14,0,Task Completed,False
5340,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,11,0,Task Completed,False
2734,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,0,Task Completed,False
3271,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,10,1,Task Completed,False
5468,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,7,0,Task Completed,False
5386,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,11,1,Task Completed,False
3667,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,5,Task Completed,False
2768,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,11,0,Task Completed,False
2305,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,24,2,Task Completed,False
1986,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,19,0,Task Completed,False
643,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,9,0,Task Completed,False
8943,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,7,0,Task Completed,False
7451,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,8,0,Task Completed,False
1139,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,10,0,Task Completed,False
2556,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,16,1,Task Completed,False
1385,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,0,Task Completed,False
9063,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,0,Task Completed,False
124,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,0,Task Completed,False
7396,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,25,0,Task Completed,False
2668,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,18,1,Task Completed,False
8931,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,10,0,Task Completed,False
4713,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,11,0,Task Completed,False
1785,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,15,0,Task Completed,False
3753,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,10,1,Task Completed,False
1422,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,7,0,Task Completed,False
9969,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,16,0,Task Completed,False
2361,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,25,4,Task Completed,False
7781,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,25,0,Task Completed,False
3738,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,25,0,Task Completed,False
7242,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,17,0,Task Completed,False
8510,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,9,0,Task Completed,False
9728,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,13,2,Task Completed,False
2212,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,6,0,Task Completed,False
905,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,13,2,Task Completed,False
7185,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,13,0,Task Completed,False
4303,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,10,0,Task Completed,False
3241,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,25,0,Task Completed,False
8249,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,9,0,Task Completed,False
707,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,25,3,Task Completed,False
9936,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,21,0,Task Completed,False
6305,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,7,6,High Collision,True
1426,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,10,0,Task Completed,False
5914,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,7,1,Task Completed,False
97,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,13,1,Task Completed,False
848,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,15,1,Task Completed,False
7859,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,15,0,Task Completed,False
841,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,14,2,Task Completed,False
