Seed Number,Bin Number,Environment,Task,Terminated,Execution Time (s)
Unknown,Result_ACAS_5_9472,Env_430,Task_437,False,0.72
Unknown,Result_ACAS_5_9472,Env_430,Task_323,False,0.78
Unknown,Result_ACAS_5_9472,Env_430,Task_23,False,1.38
Unknown,Result_ACAS_5_9472,Env_430,Task_247,False,1.79
Unknown,Result_ACAS_5_9472,Env_430,Task_482,False,1.08
Unknown,Result_ACAS_5_9472,Env_430,Task_562,False,1.33
Unknown,Result_ACAS_5_9472,Env_430,Task_159,False,0.36
Unknown,Result_ACAS_5_9472,Env_430,Task_236,False,0.59
Unknown,Result_ACAS_5_9472,Env_430,Task_539,False,0.97
Unknown,Result_ACAS_5_9472,Env_430,Task_83,False,1.48
Unknown,Result_ACAS_5_9472,Env_430,Task_179,False,1.32
Unknown,Result_ACAS_5_9472,Env_430,Task_35,False,1.51
Unknown,Result_ACAS_5_9472,Env_430,Task_499,False,0.58
Unknown,Result_ACAS_5_9472,Env_430,Task_264,False,1.33
Unknown,Result_ACAS_5_9472,Env_430,Task_250,False,0.27
Unknown,Result_ACAS_5_9472,Env_430,Task_13,False,1.98
Unknown,Result_ACAS_5_9472,Env_430,Task_44,False,0.51
Unknown,Result_ACAS_5_9472,Env_430,Task_158,False,1.28
Unknown,Result_ACAS_5_9472,Env_430,Task_425,False,1.14
Unknown,Result_ACAS_5_9472,Env_430,Task_456,False,0.28
Unknown,Result_ACAS_5_9472,Env_430,Task_490,False,0.33
Unknown,Result_ACAS_5_9472,Env_430,Task_268,False,0.46
Unknown,Result_ACAS_5_9472,Env_430,Task_599,False,1.73
Unknown,Result_ACAS_5_9472,Env_430,Task_551,False,1.49
Unknown,Result_ACAS_5_9472,Env_430,Task_50,False,2.18
Unknown,Result_ACAS_5_9472,Env_430,Task_520,False,1.18
Unknown,Result_ACAS_5_9472,Env_430,Task_116,False,1.35
Unknown,Result_ACAS_5_9472,Env_430,Task_201,False,0.61
Unknown,Result_ACAS_5_9472,Env_430,Task_24,False,1.14
Unknown,Result_ACAS_5_9472,Env_430,Task_475,False,0.17
Unknown,Result_ACAS_5_9472,Env_430,Task_521,False,0.16
Unknown,Result_ACAS_5_9472,Env_430,Task_500,False,1.33
Unknown,Result_ACAS_5_9472,Env_430,Task_609,False,0.57
Unknown,Result_ACAS_5_9472,Env_430,Task_467,False,0.91
Unknown,Result_ACAS_5_9472,Env_430,Task_8,False,1.09
Unknown,Result_ACAS_5_9472,Env_430,Task_81,False,2.13
Unknown,Result_ACAS_5_9472,Env_430,Task_97,False,0.58
Unknown,Result_ACAS_5_9472,Env_430,Task_275,False,1.36
Unknown,Result_ACAS_5_9472,Env_430,Task_378,False,1.51
Unknown,Result_ACAS_5_9472,Env_430,Task_315,False,0.81
Unknown,Result_ACAS_5_9472,Env_430,Task_486,False,1.2
Unknown,Result_ACAS_5_9472,Env_430,Task_227,False,0.79
Unknown,Result_ACAS_5_9472,Env_430,Task_340,False,0.03
Unknown,Result_ACAS_5_9472,Env_430,Task_481,False,0.13
Unknown,Result_ACAS_5_9472,Env_430,Task_488,False,0.14
Unknown,Result_ACAS_5_9472,Env_430,Task_70,False,1.31
Unknown,Result_ACAS_5_9472,Env_430,Task_232,False,0.98
Unknown,Result_ACAS_5_9472,Env_430,Task_105,False,0.81
Unknown,Result_ACAS_5_9472,Env_430,Task_206,False,0.55
Unknown,Result_ACAS_5_9472,Env_430,Task_192,False,0.53
Unknown,Result_ACAS_5_9472,Env_430,Task_312,False,0.47
Unknown,Result_ACAS_5_9472,Env_430,Task_362,False,0.98
Unknown,Result_ACAS_5_9472,Env_430,Task_254,False,1.34
Unknown,Result_ACAS_5_9472,Env_430,Task_241,False,0.93
Unknown,Result_ACAS_5_9472,Env_430,Task_320,False,1.78
Unknown,Result_ACAS_5_9472,Env_430,Task_550,False,0.91
Unknown,Result_ACAS_5_9472,Env_430,Task_90,False,1.05
